what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1513494688302
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1513494688303
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1513494688303
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1513494688303
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1513494688304
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1513494688304
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1513494688305
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1513494688305
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1513494688306
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1513494688307
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1513494688307
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1513494688307
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1513494688308
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1513494688308
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1513494688309
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1513494688309
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1513494688309
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1513494688310
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1513494688311
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1513494688311
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1513494688311
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1513494688311
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1513494688313
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1513494688314
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1513494688314
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1513494688315
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1513494688315
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1513494688316
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1513494688316
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1513494688317
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1513494688317
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1513494688318
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1513494688320
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1513494688320
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1513494688320
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1513494688321
os,sysinfo,,,"macosx",1513494688323
arch,sysinfo,,,"x86_64",1513494688323
ws,sysinfo,,,"cocoa",1513494688323
locale,sysinfo,,,"zh_CN",1513494688323
processors,sysinfo,,,"4",1513494688323
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1513494688323
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1513494688323
java.specification.name,sysinfo,,,"Java Platform API Specification",1513494688323
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513494688323
java.specification.version,sysinfo,,,"1.6",1513494688323
java.vendor,sysinfo,,,"Apple Inc.",1513494688323
java.version,sysinfo,,,"1.6.0_65",1513494688323
java.vm.info,sysinfo,,,"mixed mode",1513494688323
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1513494688323
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1513494688323
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513494688323
java.vm.specification.version,sysinfo,,,"1.0",1513494688323
java.vm.vendor,sysinfo,,,"Apple Inc.",1513494688323
java.vm.version,sysinfo,,,"20.65-b04-468",1513494688323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494695470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494697855
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1513494697926
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1513494697938
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1513494697950
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1513494697984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1513494697985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1513494697985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494705487
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1513494705647
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1513494715870
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1513494715878
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1513494715903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494724495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494725480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494725689
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1513494729522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494729736
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1513494729885
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1513494729901
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1513494730956
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1513494730972
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1513494730997
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1513494731009
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1513494731012
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1513494762060
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1513494764732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494805306
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1513494807506
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1513494807571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494808253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494849120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494855735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494880681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513494889105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495003350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495005731
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1513495011493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495058617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495074731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495077784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495079067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495082682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495085088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1513495102896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495103769
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1513495103801
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495106858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495128264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495132073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495143158
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495144889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495145430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495146453
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1513495190485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495218809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495222066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495236573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495237731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495354195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495356959
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1513495362401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1513495460438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495481625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495509004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1513495547195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495633165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495635142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495637373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495638186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1513495639315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1513495640051
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1513495641578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495689932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495690861
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1513495697418
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1513495697430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.aboutAction",1513495697453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495712837
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1513495712880
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1513495715157
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1513495715185
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495727570
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1513495750903
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1513495757087
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1513495757109
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.201.R36x_v20110111,"org.eclipse.equinox.p2.touchpoint.natives",1513495757584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495786930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495790182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495830120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495837108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495840978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495841320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495844191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495846898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495875934
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1513495877018
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513495878093
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1513495878767
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1513495878768
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1513495878769
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1513495878770
