status	+ 	* 	( 	) 	i 	# 	E 	T 	F 	
0     	  	  	S1	  	S2	  	3	4	5	
1     	  	  	S6	  	S7	  	8	9	10	
2     	R6	R6	  	  	  	R6	  	  	  	
3     	S11	  	  	  	  	ACC     	  	  	
4     	R2	S12	  	  	  	R2	  	  	  	
5     	R4	R4	  	  	  	R4	  	  	  	
6     	  	  	S6	  	S7	  	13	9	10	
7     	R6	R6	  	R6	  	  	  	  	  	
8     	S14	  	  	S15	  	  	  	  	  	
9     	R2	S16	  	R2	  	  	  	  	  	
10    	R4	R4	  	R4	  	  	  	  	  	
11    	  	  	S1	  	S2	  	  	17	5	
12    	  	  	S1	  	S2	  	  	  	18	
13    	S14	  	  	S19	  	  	  	  	  	
14    	  	  	S6	  	S7	  	  	20	10	
15    	R5	R5	  	  	  	R5	  	  	  	
16    	  	  	S6	  	S7	  	  	  	21	
17    	R1	S12	  	  	  	R1	  	  	  	
18    	R3	R3	  	  	  	R3	  	  	  	
19    	R5	R5	  	R5	  	  	  	  	  	
20    	R1	S16	  	R1	  	  	  	  	  	
21    	R3	R3	  	R3	  	  	  	  	  	
@
